,Students age,Gender,Relationship status,Type of University,Father's education,Mother's education,Father's Occupation,Mother's Occupation,Family Income(monthly),Number of Siblings,Parental status,Previous School Location,Previous College Location,SSC result,HSC result,Scholarship in SSC,Scholarship in HSC,Accommodation,Weekly Study Time at home,Reading Scientific books/articles/journals,Reading Non-Scientific books/articles/journals,Attendance in class,Mid-Term Exam Preparation,Taking Exam Preparation,Taking Class Note,Any Co-curricular activity,Attend any Seminar related to department,Any part-time job,Smoking,Sports/ Exercise,Undergraduate 1st semester result (CGPA/GPA out of 4)
57,1,0,0,0,3,3,2,4,4,2,0,2,2,2,3,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,3
58,2,0,0,0,2,0,3,4,4,1,0,2,2,3,3,1,0,1,0,0,0,2,2,1,1,0,0,1,0,1,7
59,1,1,0,0,4,3,4,0,1,1,0,1,1,3,3,0,0,1,2,1,1,2,1,2,2,0,0,0,0,1,4
60,1,1,0,0,3,4,2,3,1,2,0,1,1,3,3,0,1,1,1,0,0,2,2,1,1,1,1,1,0,1,7
61,1,0,1,0,4,4,0,4,1,0,0,1,1,3,2,0,0,1,0,0,0,2,0,1,2,0,0,0,0,1,4
62,1,0,0,0,4,4,4,3,1,1,0,1,1,3,3,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,4
63,1,1,0,0,4,3,3,4,3,2,0,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,6
64,1,1,0,0,4,3,3,4,4,2,0,2,2,3,3,1,0,1,1,0,1,2,1,1,1,0,1,0,0,1,4
65,1,1,0,0,3,3,2,3,1,1,0,1,1,3,3,0,0,1,1,0,1,2,2,1,1,0,1,0,0,1,6
66,2,0,1,0,3,2,2,4,2,1,0,2,2,3,3,0,1,0,1,1,1,2,2,2,1,0,1,1,0,1,5
67,2,1,0,0,4,3,3,4,4,1,0,1,1,3,3,1,1,1,1,1,1,2,2,2,2,1,1,1,0,1,7
68,1,0,1,0,1,1,4,4,2,2,1,2,2,3,3,0,1,1,2,1,1,2,1,2,1,1,1,1,0,1,7
69,1,0,0,0,1,1,2,4,1,3,0,2,2,3,3,1,1,1,1,1,1,2,2,1,1,1,1,1,0,1,6
